Time,CHIRPS1,Actual,Selaud
13/04/2016,15.155245,,34.675026
14/04/2016,0,,0
15/04/2016,7.5776224,,11.558343
16/04/2016,0,,15.472662
17/04/2016,0,,0
18/04/2016,0,,0
19/04/2016,0,,0
20/04/2016,0,,0
21/04/2016,0,,0
22/04/2016,0,,0
23/04/2016,0,,1
24/04/2016,0,,0
25/04/2016,0,,0
26/04/2016,16.328558,,0
27/04/2016,0,,0
28/04/2016,0,,0
29/04/2016,16.328558,,0
30/04/2016,0,,56
01/05/2016,0,,0
02/05/2016,0,,0
03/05/2016,7.833515,,0
04/05/2016,0,,11.5
05/05/2016,0,,1.5
06/05/2016,0,,0
07/05/2016,0,,7.5
08/05/2016,0,,0
09/05/2016,20.720434,,32
10/05/2016,0,,0.5
11/05/2016,6.103095,,0
12/05/2016,12.20619,,0
13/05/2016,0,,17
14/05/2016,0,,10
15/05/2016,0,,6
16/05/2016,13.74924,,31
17/05/2016,13.74924,,0
18/05/2016,0,,8
19/05/2016,0,,0
20/05/2016,0,,0
21/05/2016,0,,0
22/05/2016,6.1182117,,0
23/05/2016,0,,5
24/05/2016,0,,7.5
25/05/2016,6.1182117,,0
26/05/2016,0,,0
27/05/2016,0,,0
28/05/2016,0,,0
29/05/2016,4.2834077,,0
30/05/2016,8.566815,,4.5
31/05/2016,21.41704,,26.5
01/06/2016,13.4558525,,42.5
02/06/2016,0,,2
03/06/2016,0,,0.5
04/06/2016,13.4558525,,0
05/06/2016,6.7279263,,59.5
06/06/2016,0,,0
07/06/2016,0,,0
08/06/2016,0,,0
09/06/2016,0,,0
10/06/2016,5.5295815,,0
11/06/2016,8.265221,,0
12/06/2016,33.060883,,0.5
13/06/2016,0,,10.5
14/06/2016,0,,0
15/06/2016,0,,1.5
16/06/2016,17.359186,,0
17/06/2016,8.679593,,0
18/06/2016,0,,0
19/06/2016,52.07756,,9.5
20/06/2016,17.359186,,23.5
21/06/2016,0,,0.5
22/06/2016,26.41448,,0
23/06/2016,26.41448,,31
24/06/2016,0,,2
25/06/2016,0,,0
26/06/2016,10.512926,,11
27/06/2016,21.025852,,0
28/06/2016,0,,18
29/06/2016,0,,0
30/06/2016,0,,0
01/07/2016,4.127672,,0
02/07/2016,4.127672,,0
03/07/2016,0,,0
04/07/2016,0,,0
05/07/2016,0,,0
06/07/2016,0,,0
07/07/2016,0,,0
08/07/2016,8.466426,,0
09/07/2016,4.233213,,0
10/07/2016,4.233213,,0
11/07/2016,0,,0
12/07/2016,0,,0
13/07/2016,0,,0
14/07/2016,0,,0
